uf,ano,tri,n,ncol,obj_ok,cid_col_presente,n_cid_principal_L732,filtro_consistente,base
PR,2025,3,1565,62,TRUE,TRUE,1565,TRUE,sia
PR,2025,4,1115,62,TRUE,TRUE,1115,TRUE,sia
PE,2020,1,1,62,TRUE,TRUE,1,TRUE,sia
PE,2020,2,0,62,TRUE,TRUE,NA,TRUE,sia
PE,2020,3,6,62,TRUE,TRUE,6,TRUE,sia
PE,2020,4,25,62,TRUE,TRUE,25,TRUE,sia
PE,2021,1,39,62,TRUE,TRUE,39,TRUE,sia
PE,2021,2,62,62,TRUE,TRUE,62,TRUE,sia
PE,2021,3,76,62,TRUE,TRUE,76,TRUE,sia
PE,2021,4,91,62,TRUE,TRUE,91,TRUE,sia
PE,2022,1,100,62,TRUE,TRUE,100,TRUE,sia
PE,2022,2,96,62,TRUE,TRUE,96,TRUE,sia
PE,2022,3,101,62,TRUE,TRUE,101,TRUE,sia
PE,2022,4,124,62,TRUE,TRUE,124,TRUE,sia
PE,2023,1,141,62,TRUE,TRUE,141,TRUE,sia
PE,2023,2,163,62,TRUE,TRUE,163,TRUE,sia
PE,2023,3,204,62,TRUE,TRUE,204,TRUE,sia
PE,2023,4,206,62,TRUE,TRUE,206,TRUE,sia
PE,2024,1,203,62,TRUE,TRUE,203,TRUE,sia
PE,2024,2,239,62,TRUE,TRUE,239,TRUE,sia
PE,2024,3,305,62,TRUE,TRUE,305,TRUE,sia
PE,2024,4,380,62,TRUE,TRUE,380,TRUE,sia
PE,2025,1,388,62,TRUE,TRUE,388,TRUE,sia
PE,2025,2,514,62,TRUE,TRUE,514,TRUE,sia
PE,2025,3,604,62,TRUE,TRUE,604,TRUE,sia
PE,2025,4,468,62,TRUE,TRUE,468,TRUE,sia
PI,2020,1,1,62,TRUE,TRUE,1,TRUE,sia
PI,2020,2,3,62,TRUE,TRUE,3,TRUE,sia
PI,2020,3,7,62,TRUE,TRUE,7,TRUE,sia
PI,2020,4,9,62,TRUE,TRUE,9,TRUE,sia
PI,2021,1,12,62,TRUE,TRUE,12,TRUE,sia
PI,2021,2,15,62,TRUE,TRUE,15,TRUE,sia
PI,2021,3,17,62,TRUE,TRUE,17,TRUE,sia
PI,2021,4,12,62,TRUE,TRUE,12,TRUE,sia
PI,2022,1,10,62,TRUE,TRUE,10,TRUE,sia
PI,2022,2,20,62,TRUE,TRUE,20,TRUE,sia
PI,2022,3,28,62,TRUE,TRUE,28,TRUE,sia
PI,2022,4,34,62,TRUE,TRUE,34,TRUE,sia
PI,2023,1,42,62,TRUE,TRUE,42,TRUE,sia
PI,2023,2,39,62,TRUE,TRUE,39,TRUE,sia
PI,2023,3,40,62,TRUE,TRUE,40,TRUE,sia
PI,2023,4,56,62,TRUE,TRUE,56,TRUE,sia
PI,2024,1,47,62,TRUE,TRUE,47,TRUE,sia
PI,2024,2,52,62,TRUE,TRUE,52,TRUE,sia
PI,2024,3,53,62,TRUE,TRUE,53,TRUE,sia
